Order #,Date Seen,Title,Letter Rating,Score,Year Watched,Location,Format,Release Year,Rotten Tomatoes,Length (Minutes),RT/Minute,Poster URL,Genres
18,October-06,Mystic River,A,18.03,2006,Boston,DVD,2003,89%,137,64%,https://image.tmdb.org/t/p/w500/hCHVDbo6XJGj3r2i4hVjKhE0GKF.jpg,"Thriller, Crime, Drama, Mystery"
19,1990s,"Philadelphia Story, The",A,18.02,Pre-2006,London,VHS,1940,100%,176,57%,https://image.tmdb.org/t/p/w500/dKUubjvxO78XDts6VP1Ggcp4R9O.jpg,"Comedy, Romance"
20,1990s,"Shawshank Redemption, The",A,18.01,Pre-2006,Peninsula,DVD,1994,89%,145,61%,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Drama, Crime"
21,1990s,"Sting, The",A,18,Pre-2006,London,VHS,1974,,130,70%,https://image.tmdb.org/t/p/w500/4VdQopZb0lx13Me3yxE5rUXMGCI.jpg,"Comedy, Crime, Drama"
22,September-08,Burn After Reading,A-/A,17,2008,Lafayette,Theatre,2008,78%,96,81%,https://image.tmdb.org/t/p/w500/jdwSkQu3XirmX18MNj8CqFWsCk.jpg,"Comedy, Drama"
23,1990s,"Deer Hunter,The",A-/A,17,Pre-2006,Fresno,VHS,1978,86%,183,50%,https://image.tmdb.org/t/p/w500/bbGtogDZOg09bm42KIpCXUXICkh.jpg,"Drama, War"
24,1990s,"Godfather II, The",A-/A,17,Pre-2006,London,VHS,1974,,200,49%,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"Drama, Crime"
25,1990s,"Grapes of Wrath, The",A-/A,17,Pre-2006,London,VHS,1940,100%,129,78%,https://image.tmdb.org/t/p/w500/eUcxMVBIA0Jg8l1RGUqycrc3eIQ.jpg,Drama
26,March-06,In Good Company,A-/A,17,2006,San Fran,DVD,2004,83%,110,75%,https://image.tmdb.org/t/p/w500/9u8MAGTAAhIdqZfhNsHcLcRNnra.jpg,"Comedy, Drama, Romance"
27,July-10,Inception,A-/A,17,2010,Peninsula,Theatre,2010,87%,148,58%,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,"Action, Sci Fi, Adventure"
28,1980s,Indiana Jones and the Last Crusade,A-/A,17,Pre-2006,London,Theatre,1989,84%,126,71%,https://image.tmdb.org/t/p/w500/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,"Adventure, Action"
29,March-07,"Last King of Scotland, The",A-/A,17,2007,Boston,Theatre,2006,87%,123,71%,https://image.tmdb.org/t/p/w500/mTtgpH6UnHUtD8moRJUzfGLOZTj.jpg,Drama
30,1990s,Patton,A-/A,17,Pre-2006,London,VHS,1970,92%,171,57%,https://image.tmdb.org/t/p/w500/rLM7jIEPTjj4CF7F1IrzzNjLUCu.jpg,"War, Drama, History"
31,1980s,Star Wars II: The Empire Strikes Back,A-/A,17,Pre-2006,London,Theatre,1980,,124,78%,https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,"Adventure, Action, Sci Fi"
32,May-09,Up,A-/A,17,2009,San Fran,On-Demand/PPV,2009,98%,96,102%,https://image.tmdb.org/t/p/w500/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,"Animation, Comedy, Family, Adventure"
33,1980s,Adventures in Babysitting,A-,16,Pre-2006,London,Theatre,1987,72%,102,75%,https://image.tmdb.org/t/p/w500/8QiAj0Xw2UMeZMIIfZKeNoIsszs.jpg,Comedy
34,1990s,American History X,A-,16,Pre-2006,London,VHS,1998,84%,118,69%,https://image.tmdb.org/t/p/w500/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,Drama
35,December-13,American Hustle,A-,16,2013,Florida,Theatre,2013,92%,139,67%,https://image.tmdb.org/t/p/w500/z6O1KDhfWDTm5ZBr6Ovr0eg8LqO.jpg,"Drama, Crime"
36,2000s,Batman Begins,A-,16,Pre-2006,San Fran,Theatre,2005,85%,140,61%,https://image.tmdb.org/t/p/w500/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,"Drama, Crime, Action"
37,1990s,Bedroom Window,A-,16,Pre-2006,London,VHS,1987,72%,113,76%,https://image.tmdb.org/t/p/w500/7JT5mzLBuABKqDNvCvfnjrvYQC6.jpg,"Drama, Thriller"
38,1980s,Big,A-,16,Pre-2006,Theatre,Boston,1988,98%,98,98%,https://image.tmdb.org/t/p/w500/eWhCDJiwxvx3YXkAFRiHjimnF0j.jpg,"Fantasy, Drama, Comedy, Romance, Family"
39,February-16,"Big Short, The",A-,16,2016,Theatre,Peninsula,2015,89%,130,68%,https://image.tmdb.org/t/p/w500/scVEaJEwP8zUix8vgmMoJJ9Nq0w.jpg,"Comedy, Drama"
40,May-11,Black Swan,A-,16,2011,Peninsula,On-Demand/PPV,2010,85%,108,81%,https://image.tmdb.org/t/p/w500/viWheBd44bouiLCHgNMvahLThqx.jpg,"Drama, Thriller, Horror"
41,August-07,"Bourne Ultimatum, The",A-,16,2007,Boston,Theatre,2007,92%,115,82%,https://image.tmdb.org/t/p/w500/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,"Action, Drama, Mystery, Thriller"
42,July-14,Boyhood,A-,16,2014,San Fran,Theatre,2014,97%,165,60%,https://image.tmdb.org/t/p/w500/2BvtvDUyxiMJ4dmKfiQf4qdOHQN.jpg,Drama
43,November-06,Casino Royale,A-,16,2006,Boston,Theatre,2006,94%,144,65%,https://image.tmdb.org/t/p/w500/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,"Adventure, Action, Thriller"
44,5/5/2016,City of God,A-,16,2016,Portola Valley,On-Demand/PPV,2003,,130,69%,https://image.tmdb.org/t/p/w500/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,"Drama, Crime"
45,1990s,Clueless,A-,16,Pre-2006,Boston,Theatre,1995,,97,84%,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,"Comedy, Romance"
46,1980s,Crocodile Dundee I,A-,16,Pre-2006,London,Theatre,1986,,97,90%,https://image.tmdb.org/t/p/w500/pduPduL1ub5kok3lPYT15ryC9L6.jpg,"Adventure, Comedy"
47,July-08,"Dark Knight, The",A-,16,2008,Hong Kong,Theatre,2008,94%,152,62%,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Drama, Action, Crime, Thriller"
48,1990s,Dazed and Confused,A-,16,Pre-2006,London,Theatre,1993,94%,103,90%,https://image.tmdb.org/t/p/w500/msG9awbLhVZwv1Eh9Ge7SofMexW.jpg,"Comedy, Drama"
49,1980s,Dirty Rotten Scoundrels,A-,16,Pre-2006,London,Theatre,1988,89%,112,79%,https://image.tmdb.org/t/p/w500/3176xH21fSetstKpEtAD1giHbyT.jpg,"Comedy, Crime"
50,November-16,"Edge of Seventeen, The",A-,16,2016,Peninsula,Theatre,2016,94%,98,96%,https://image.tmdb.org/t/p/w500/iY5UEYuGxHfaYJ3vAUAWwFGMV7V.jpg,"Comedy, Drama"
51,1990s,Election,A-,16,Pre-2006,Canada,On-Demand/PPV,1999,92%,102,91%,https://image.tmdb.org/t/p/w500/5gPOFU6IPvDrx50XaPCK4twNw79.jpg,"Comedy, Drama"
52,July-15,Ex Machina,A-,16,2015,Peninsula,On-Demand/PPV,2015,,108,85%,https://image.tmdb.org/t/p/w500/dmJW8IAKHKxFNiUnoDR7JfsK7Rp.jpg,"Drama, Sci Fi"
53,1990s,"Few Good Men, A",A-,16,Pre-2006,London,Theatre,1992,84%,138,NA,https://image.tmdb.org/t/p/w500/rLOk4z9zL1tTukIYV56P94aZXKk.jpg,Drama
54,1980s,A Fish Called Wanda,A-,16,Pre-2006,London,Theatre,1988,96%,108,NA,https://image.tmdb.org/t/p/w500/hkSGFNVfEEUXFCxRZDITFHVhUlu.jpg,"Comedy, Crime"
55,December-08,Frost/Nixon,A-,16,2008,Florida,Theatre,2008,93%,122,74%,https://image.tmdb.org/t/p/w500/z4cQ2mJxwPZUwVh97yX9oNsLLZQ.jpg,"Drama, History"
56,December-14,Frozen,A-,16,2014,Peninsula,Theatre,2013,89%,102,87%,https://image.tmdb.org/t/p/w500/itAKcobTYGpYT8Phwjd8c9hleTo.jpg,"Animation, Family, Adventure, Fantasy"
57,1990s,"Fugitive, The",A-,16,Pre-2006,Boston,Theatre,1993,96%,130,NA,https://image.tmdb.org/t/p/w500/b3rEtLKyOnF89mcK75GXDXdmOEf.jpg,"Action, Thriller, Drama"
58,1990s,Home Alone,A-,16,Pre-2006,Boston,On-Demand/PPV,1990,,120,NA,https://image.tmdb.org/t/p/w500/i5We88HdO9Nsrv8xLyo4toNsLUM.jpg,"Comedy, Family, Adventure"
59,1990s,In the Line of Fire,A-,16,Pre-2006,Boston,Theatre,1993,96%,128,NA,https://image.tmdb.org/t/p/w500/3NvOFpmyECI3DNExYMtFIRcGMsu.jpg,"Action, Drama, Thriller, Crime, Mystery"
60,1990s,In The Name of the Father,A-,16,Pre-2006,London,Theatre,1993,94%,133,NA,https://image.tmdb.org/t/p/w500/3NcIkKxaO2SmRVsG1v50XhtmL0f.jpg,Drama
61,February-07,"Inconvenient Truth, An",A-,16,2007,Boston,DVD,2006,93%,96,NA,https://image.tmdb.org/t/p/w500/zrYT5UHE2UIsofwkv6KK2Tsu5a.jpg,Documentary
62,July-08,Into The Wild,A-,16,2008,London,DVD,2007,83%,148,56%,https://image.tmdb.org/t/p/w500/jnLnLYP5pGDfri04gxtAqAvkHMw.jpg,"Adventure, Drama"
63,March-12,"King of Kong, The",A-,16,2012,London,Netflix,2007,97%,82,117%,https://image.tmdb.org/t/p/w500/wACtXGiO08EBbJhqsD2nUzPsrKe.jpg,Documentary
64,February-17,La La Land,A-,16,2017,Peninsula,Theatre,2016,91%,128,73%,https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,"Comedy, Drama, Romance"
65,February-07,Letters from Iwo Jima,A-,16,2007,Boston,Theatre,2006,91%,141,NA,https://image.tmdb.org/t/p/w500/kZokxQtzMPURvijWYFuvh1fAvnv.jpg,"Action, Drama, War"
66,April-07,"Lives of Others, The",A-,16,2007,Boston,DVD,2006,92%,137,NA,https://image.tmdb.org/t/p/w500/cVUDMnskSc01rdbyH0tLATTJUdP.jpg,"Drama, Thriller"
67,2000s,The Lord of the Rings: The Fellowship of the Ring,A-,16,Pre-2006,Steamboat,Theatre,2001,,132,NA,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"Adventure, Animation, Fantasy"
68,January-17,Mustang,A-,16,2017,Portola Valley,Amazon Instant,2015,97%,97,101%,https://image.tmdb.org/t/p/w500/8lrsjdydRxhKlKiGuMbbzuFKrdN.jpg,Drama
69,1980s,No Way Out,A-,16,Pre-2006,London,VHS,1987,92%,114,NA,https://image.tmdb.org/t/p/w500/93CzsBvRhg035yvQosRtSsTL19v.jpg,"Thriller, Drama"
70,1990s,Notting Hill,A-,16,Pre-2006,London,Theatre,1999,84%,124,NA,https://image.tmdb.org/t/p/w500/hHRIf2XHeQMbyRb3HUx19SF5Ujw.jpg,"Romance, Comedy"
71,7/9/2020,Once Upon A Time In Hollywood,A-,16,2020,Portola Valley,On-Demand/PPV,2019,86%,159,53%,https://image.tmdb.org/t/p/w500/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,"Comedy, Drama, Thriller"
72,6/1/2015,Paddington,A-,16,2015,Peninsula,On-Demand/PPV,2015,,96,102%,https://image.tmdb.org/t/p/w500/wpchRGhRhvhtU083PfX2yixXtiw.jpg,"Comedy, Adventure, Family"
73,1990s,Patriot Games,A-,16,Pre-2006,Boston,Theatre,1992,72%,117,NA,https://image.tmdb.org/t/p/w500/yToAJg67r3hk3Ux3sfXOdpiqxU.jpg,"Drama, Action, Thriller, Crime"
74,1980s,Raiders of the Lost Ark,A-,16,Pre-2006,London,VHS,1981,94%,115,NA,https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"Adventure, Action"
75,1990s,Rear Window,A-,16,Pre-2006,London,VHS,1954,99%,112,NA,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,"Thriller, Mystery"
76,March-08,"Remains of the Day, The",A-,16,2008,Boston,Netflix,1993,96%,134,72%,https://image.tmdb.org/t/p/w500/uDGDtqSvuch324WnM7Ukdp1bCAQ.jpg,"Drama, Romance"
77,January-09,Revolutionary Road,A-,16,2009,San Fran,Theatre,2008,67%,119,57%,https://image.tmdb.org/t/p/w500/cvkD3yiVXLg3as8EAG3LaTycONQ.jpg,"Drama, Romance"
78,2000s,Spider-Man I,A-,16,Pre-2006,Pensinsula,Theatre,2018,,117,NA,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,"Animation, Action, Adventure, Sci Fi"
79,1980s,"Spy Who Loved Me, The",A-,16,Pre-2006,London,VHS,1977,82%,125,NA,https://image.tmdb.org/t/p/w500/3ZxHKFxMYvAko680DsRgAZKWcLi.jpg,"Adventure, Action, Thriller"
80,1980s,Star Wars I,A-,16,Pre-2006,London,VHS,2012,,5,NA,https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,"Adventure, Action, Sci Fi"
81,1990s,"Thomas Crown Affair, The",A-,16,Pre-2006,Canada,Theatre,1999,69%,113,NA,https://image.tmdb.org/t/p/w500/5yqs1MVlqdIg1DY5adC5jFx3d7j.jpg,"Drama, Crime, Romance"
82,February-18,"Three Billboards outside Ebbing, Missouri",A-,16,2018,Portola Valley,On-Demand/PPV,2017,,115,80%,https://image.tmdb.org/t/p/w500/uGMM9ZObmPUFrGqcbFMVyv8L1lU.jpg,"Crime, Drama"
83,1990s,To Kill a Mockingbird,A-,16,Pre-2006,London,VHS,1962,93%,129,NA,https://image.tmdb.org/t/p/w500/gZycFUMLx2110dzK3nBNai7gfpM.jpg,Drama
84,May-22,Top Gun: Maverick,A-,16,2022,Sunnyvale,Theatre,2022,96%,131,74%,https://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,"Action, Drama"
85,July-10,Toy Story III,A-,16,2010,Peninsula,Theatre,2010,,103,96%,https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,"Animation, Family, Comedy"
86,1990s,Toy Story,A-,16,Pre-2006,Peninsula,DVD,1995,,42,NA,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Documentary
87,2000s,Toy Story II,A-,16,Pre-2006,Peninsula,DVD,1999,,92,NA,https://image.tmdb.org/t/p/w500/yFWQkz2ynjwsazT6xQiIXEUsyuh.jpg,"Animation, Comedy, Family"
88,1990s,True Lies,A-,16,Pre-2006,Boston,Theatre,1994,72%,141,51%,https://image.tmdb.org/t/p/w500/pweFTnzzTfGK68woSVkiTgjLzWm.jpg,"Action, Thriller"
89,December-09,Up In The Air,A-,16,2009,Florida,Theatre,2009,90%,109,81%,https://image.tmdb.org/t/p/w500/f4PpmOZHFWSJBTF0kX4cOW5TLiK.jpg,"Drama, Romance"
90,August-07,"Woodsman, The",A-,16,2007,Iceland,On-Demand/PPV,2004,88%,85,104%,https://image.tmdb.org/t/p/w500/4fDgLcc35A0IpxhMyJMP33bSDXj.jpg,"Drama, Crime"
91,January-09,"Wrestler, The",A-,16,2009,San Fran,Theatre,2008,99%,105,93%,https://image.tmdb.org/t/p/w500/6OTR8dSoNGjWohJNo3UhIGd3Tj.jpg,"Drama, Romance"
92,,American Beauty,B+/A-,15,Pre-2006,,Theatre,1999,87%,122,NA,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg,Drama
93,November-07,American Gangster,B+/A-,15,2007,Boston,Theatre,2007,81%,157,NA,https://image.tmdb.org/t/p/w500/m7kJge9DG86Bj7hsBW6xFCMyDkY.jpg,"Drama, Crime"
94,,American Graffiti,B+/A-,15,Pre-2006,London,VHS,1973,95%,110,NA,https://image.tmdb.org/t/p/w500/1tjLivPad2PX8FAzWko7FPIb8d2.jpg,"Comedy, Drama"
95,,Apollo 13,B+/A-,15,Pre-2006,,,1995,94%,140,NA,https://image.tmdb.org/t/p/w500/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg,"Drama, History"
96,,Austin Powers I,B+/A-,15,Pre-2006,,,2002,,94,NA,https://image.tmdb.org/t/p/w500/n8V61f1v7idya4WJzGEJNoIp9iL.jpg,"Comedy, Crime, Sci Fi"
97,August-07,"Aviator, The",B+/A-,15,2007,London,DVD,2004,86%,170,NA,https://image.tmdb.org/t/p/w500/lx4kWcZc3o9PaNxlQpEJZM17XUI.jpg,Drama
98,February-07,Bastards of the Party,B+/A-,15,2007,,,2005,,95,NA,https://image.tmdb.org/t/p/w500/kbmljC4VN32Z4uVBiigxlUD7i4U.jpg,Documentary
99,,Best in Show,B+/A-,15,Pre-2006,Peninsula,Theatre,2000,93%,90,NA,https://image.tmdb.org/t/p/w500/qkYBCMN26SxkQww4gLxUXQm5vr4.jpg,Comedy
100,,Beverly Hills Cop,B+/A-,15,Pre-2006,,,1984,,103,NA,https://image.tmdb.org/t/p/w500/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,"Action, Comedy, Crime"
101,June-08,"Bigger, Stronger, Faster*",B+/A-,15,2008,Boston,Theatre,2008,,106,94%,https://image.tmdb.org/t/p/w500/4sZNQ7OQgkJj7kLFx4su21yEHTB.jpg,Documentary
102,December-06,Blood Diamond,B+/A-,15,2006,Theatre,Peninsula,2006,64%,143,NA,https://image.tmdb.org/t/p/w500/vL0TSMpKWx9UGJbKdYCKREEDukF.jpg,"Drama, Thriller, Action"
103,October-22,Blue Jasmine,B+/A-,15,2022,Portola Valley,Netflix,2013,90%,98,93%,https://image.tmdb.org/t/p/w500/nsj0RLRI10351uYMoAKPur6Derd.jpg,Drama
104,,Boyz N The Hood,B+/A-,15,Pre-2006,London,VHS,1991,96%,112,NA,https://image.tmdb.org/t/p/w500/v4ox4aSCNT5vyLXl4Q71JiWwCXW.jpg,"Crime, Drama"
105,,Breaking Away,B+/A-,15,Pre-2006,London,VHS,1979,95%,101,NA,https://image.tmdb.org/t/p/w500/k7b5GsVJK1hfdwoYqcczN9pBba6.jpg,"Drama, Comedy"
106,November-15,Bridge of Spies,B+/A-,15,2015,Peninsula,Theatre,2015,91%,135,67%,https://image.tmdb.org/t/p/w500/fmOOjHAQzxr0c1sfcY4qkiSRBH6.jpg,"Thriller, Drama"
107,May-16,"Bridge on the River Kwai, The",B+/A-,15,2016,Portola Valley,On-Demand/PPV,1957,96%,161,58%,https://image.tmdb.org/t/p/w500/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg,"Drama, History, War"
108,1999,Can't Hardly Wait,B+/A-,15,Pre-2006,Seattle,VHS,1998,42%,100,NA,https://image.tmdb.org/t/p/w500/r3a5gGWfS0SDS9nriNrJzSSrErf.jpg,"Comedy, Romance"
109,,Carlito's Way,B+/A-,15,Pre-2006,,,1993,84%,144,NA,https://image.tmdb.org/t/p/w500/g6D7mjQtndu768cusGmoEQY9fTB.jpg,"Crime, Drama, Thriller"
110,June-06,Cars,B+/A-,15,2006,,,2006,74%,116,NA,https://image.tmdb.org/t/p/w500/2Touk3m5gzsqr1VsvxypdyHY5ci.jpg,"Animation, Adventure, Comedy, Family"
111,December-07,Charlie Wilson's War,B+/A-,15,2007,East Bay,Theatre,2007,82%,102,NA,https://image.tmdb.org/t/p/w500/45FghqcdSYRWK7PsHUInaFPNd8l.jpg,"Comedy, Drama, History"
112,,Chicago,B+/A-,15,Pre-2006,,,2002,87%,113,NA,https://image.tmdb.org/t/p/w500/3ED8cWCXY9zkx77Sd0N5qMbsdDP.jpg,"Comedy, Crime, Drama"
113,October-22,Coda,B+/A-,15,2022,Plane,On-Demand/PPV,2021,94%,111,85%,https://image.tmdb.org/t/p/w500/BzVjmm8l23rPsijLiNLUzuQtyd.jpg,"Drama, Music, Romance"
114,February-06,"Constant Gardener, The",B+/A-,15,2006,,,2005,83%,129,NA,https://image.tmdb.org/t/p/w500/nkXq7V7mmJVbvwZGr3nxkHo7HkS.jpg,"Drama, Mystery, Thriller"
115,,Contact,B+/A-,15,Pre-2006,,,1997,69%,150,NA,https://image.tmdb.org/t/p/w500/bCpMIywuNZeWt3i5UMLEIc0VSwM.jpg,"Drama, Sci Fi, Mystery"
116,,Cool Runnings,B+/A-,15,Pre-2006,,,1993,75%,98,NA,https://image.tmdb.org/t/p/w500/6fXuGEb7EqGmAeUodxm7l5ELPZ.jpg,"Comedy, Adventure, Drama"
117,April-07,Crash,B+/A-,15,2007,,,2004,73%,112,NA,https://image.tmdb.org/t/p/w500/86BdPC6RDX88NC880pLidKn2LCj.jpg,Drama
118,November-15,Creed,B+/A-,15,2015,Peninsula,Theatre,2015,95%,132,70%,https://image.tmdb.org/t/p/w500/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,"Drama, Action"
119,,"Day of the Jackal, The",B+/A-,15,Pre-2006,,,1973,91%,143,NA,https://image.tmdb.org/t/p/w500/vThgcb3JOj99yETg8WChuci4LV2.jpg,"Action, Thriller"
120,February-92,Dead Again,B+/A-,15,Pre-2006,London,Theatre,1991,81%,107,NA,https://image.tmdb.org/t/p/w500/irEnDVtxox6gnRJuwtEZuxvl2vZ.jpg,"Mystery, Drama, Crime, Thriller"
121,November-06,The Departed,B+/A-,15,2006,,,2006,91%,151,NA,https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg,"Drama, Thriller, Crime"
122,June-07,Double Indemnity,B+/A-,15,2007,,,1944,97%,107,NA,https://image.tmdb.org/t/p/w500/rVNYZZgfhwqVMMWlBmxOfWqnwCj.jpg,"Crime, Thriller"
123,November-15,"End of the Tour, The",B+/A-,15,2015,Portola Valley,On-Demand/PPV,2015,92%,105,87%,https://image.tmdb.org/t/p/w500/3fEuVd8Xorwtk5kFVvyiNlOtcIw.jpg,Drama
124,July-14,Exit Through The Gift Shop,B+/A-,15,2010,San Fran,Theatre,2010,96%,86,112%,https://image.tmdb.org/t/p/w500/ruM5ehUQlHC1Kx3SF18d6klfrAx.jpg,Documentary
125,,Fatal Attraction,B+/A-,15,Pre-2006,,,1987,74%,119,NA,https://image.tmdb.org/t/p/w500/vjB9XwJKnYqFKKjhWcE6WpAf5Ki.jpg,"Thriller, Drama, Romance"
126,,Finding Nemo,B+/A-,15,Pre-2006,,,2003,99%,100,NA,https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,"Animation, Family"
127,,Four Weddings and a Funeral,B+/A-,15,Pre-2006,,,1994,92%,117,NA,https://image.tmdb.org/t/p/w500/qa72G2VS0bpxms6yo0tI9vsHm2e.jpg,"Comedy, Drama, Romance"
128,December-18,Free Solo,B+/A-,15,2018,Palo Alto,Theatre,2018,97%,97,101%,https://image.tmdb.org/t/p/w500/v4QfYZMACODlWul9doN9RxE99ag.jpg,"Documentary, Adventure"
129,,"Full Monty, The",B+/A-,15,Pre-2006,Peninsula,Theatre,1997,96%,91,NA,https://image.tmdb.org/t/p/w500/crtSEBd4ya9r5oEFHRatAud6Id8.jpg,Comedy
130,October-08,Ghost Town,B+/A-,15,2008,San Fran,Theatre,2008,85%,102,82%,https://image.tmdb.org/t/p/w500/b8VS14DwpLlugTxVWSllYU0Gjn5.jpg,"Comedy, Romance, Drama, Fantasy"
131,February-08,"Gone, Baby, Gone",B+/A-,15,2008,Boston,DVD,2007,,115,81%,https://image.tmdb.org/t/p/w500/wZR1dvctqODqNGv6LJBEj6DQ2zK.jpg,"Crime, Drama, Mystery"
132,,"Good, the Bad, and the Ugly, The",B+/A-,15,Pre-2006,,,1966,,161,NA,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,Western
